effDate,consTickerSymbol,weight
2017-03-31,600074,0.131
2017-03-31,000060,0.179
2017-03-31,002131,0.097
2017-03-31,601618,0.283
2017-03-31,600221,0.236
2017-03-31,000778,0.123
2017-03-31,600839,0.162
2017-03-31,600804,0.232
2017-03-31,600873,0.142
2017-03-31,600704,0.127
2017-03-31,600547,0.276
2017-03-31,601318,4.163
2017-03-31,600376,0.129
2017-03-31,002007,0.207
2017-03-31,601718,0.135
2017-03-31,600783,0.07
2017-03-31,600867,0.21
2017-03-31,300017,0.199
2017-03-31,000750,0.196
2017-03-31,002183,0.155
2017-03-31,600518,0.581
2017-03-31,000157,0.218
2017-03-31,000423,0.356
2017-03-31,600019,0.598
2017-03-31,601933,0.219
2017-03-31,000983,0.158
2017-03-31,000858,0.847
2017-03-31,000963,0.234
2017-03-31,000938,0.086
2017-03-31,601258,0.14
2017-03-31,600741,0.238
2017-03-31,000623,0.226
2017-03-31,000686,0.174
2017-03-31,002202,0.261
2017-03-31,600549,0.097
2017-03-31,600415,0.224
2017-03-31,601021,0.087
2017-03-31,603000,0.095
2017-03-31,600031,0.285
2017-03-31,300027,0.17
2017-03-31,601155,0.144
2017-03-31,000100,0.269
2017-03-31,601225,0.128
2017-03-31,601608,0.078
2017-03-31,002456,0.299
2017-03-31,300058,0.122
2017-03-31,002153,0.072
2017-03-31,002074,0.15
2017-03-31,601328,1.777
2017-03-31,601988,0.81
2017-03-31,000001,0.817
2017-03-31,600340,0.251
2017-03-31,600271,0.242
2017-03-31,600196,0.295
2017-03-31,600153,0.194
2017-03-31,000793,0.227
2017-03-31,601901,0.347
2017-03-31,002466,0.268
2017-03-31,600111,0.274
2017-03-31,600085,0.18
2017-03-31,600737,0.12
2017-03-31,600705,0.287
2017-03-31,600685,0.114
2017-03-31,000039,0.127
2017-03-31,002129,0.114
2017-03-31,600383,0.259
2017-03-31,601788,0.311
2017-03-31,002008,0.233
2017-03-31,002236,0.24
2017-03-31,002195,0.116
2017-03-31,000425,0.178
2017-03-31,600021,0.109
2017-03-31,300182,0.104
2017-03-31,600000,1.438
2017-03-31,002470,0.118
2017-03-31,300124,0.219
2017-03-31,300015,0.126
2017-03-31,600999,0.386
2017-03-31,000768,0.354
2017-03-31,000718,0.088
2017-03-31,600519,2.016
2017-04-28,002202,0.245
2017-04-28,600549,0.092
2017-04-28,600415,0.204
2017-04-28,600031,0.279
2017-04-28,300027,0.15
2017-04-28,601155,0.147
2017-04-28,000100,0.269
2017-04-28,601225,0.124
2017-04-28,601608,0.075
2017-04-28,002456,0.308
2017-04-28,300058,0.107
2017-04-28,002153,0.071
2017-04-28,002074,0.145
2017-04-28,601328,1.728
2017-04-28,601988,0.79
