code,year,quarter,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
601398,2012,1,6.0,46.81,60.7562,61335.0,0.1755,131017.0,0.375,,,,,,,,13.9981,17.2797,14.1849,20.0,17.3195,,,,,6.2256,93.7744,,0.0243,6.5133,0.0259,
601398,2012,2,12.11,46.39,60.138000000000005,123160.0,0.3525,265486.0,0.76,,,,,,,,12.4718,18.3609,14.6146,12.9032,18.398,,,,,5.9594,94.0406,,,,,
601398,2012,3,17.29,46.23,59.5432,185602.0,0.5313,401473.0,1.1492,,,,,,,,13.2536,19.2277,14.8354,12.765999999999998,19.1708,,,,,6.19,93.81,,0.0509,4.7585,0.0542,
601398,2012,4,21.2,44.42,57.2606,238532.0,0.6822,536945.0,1.5358,,,,,,,,14.5103,17.815,13.3447,13.3333,17.5862,,,,,6.4328,93.5672,,0.0304,2.2351,0.0325,
601398,2013,1,5.75,46.52,59.7151,68743.0,0.1966,147760.0,0.4226,,,,,,,,12.1244,17.095,11.7221,11.1111,16.868,,,,,6.525,93.475,,0.0176,4.6942,0.0188,
601398,2013,2,11.8,46.33,59.7417,138347.0,0.3956,298607.0,0.8540000000000001,,,,,,,,12.3628,15.4942,9.6661,14.2857,15.2697,,,,,6.2761,93.7239,,0.0076,1.0307,0.0081,
601398,2013,3,16.68,46.5,59.7481,205533.0,0.5862,441917.0,1.2605,,,,,,,,10.8017,14.8906,7.8947,11.3208,14.7565,,,,,6.5914,93.4086,,0.0037,0.3394,0.004,
601398,2013,4,20.61,44.54,57.1616,262649.0,0.7474,589637.0,1.6780000000000002,,,,,,,,10.1696,13.2928,7.8413,10.2941,13.2567,,,,,6.757999999999999,93.242,,-0.0001,-0.0074,-0.0001,
601398,2014,1,5.39,45.07,58.6351,73302.0,0.2086,162633.0,0.4628,,,,,,,,6.7545,13.7838,7.5033,5.0,13.7593,,,,,6.9062,93.0938,,0.0126,3.3758,0.0135,
601398,2014,2,10.93,45.09,58.9194,148100.0,0.4214,328425.0,0.9346,,,,,,,,7.1521,15.6932,8.4404,5.0,15.6508,,,,,6.6958,93.3042,,0.0206,2.8177,0.0221,
601398,2014,3,15.44,45.12,58.8439,220464.0,0.6271,488589.0,1.3899,,,,,,,,7.3305,15.9453,7.5145,6.7797,15.8996,,,,,7.1082,92.8918,,0.0038,0.3472,0.0041,
601398,2014,4,18.01,41.85,54.5783,275811.0,0.7802,658892.0,1.8639,,,,,,,,5.0657,20.2463,8.945,4.0,20.149,,,,,7.459,92.541,,,,,
