close,code,date,high,low,open,volume
5.615,601898,2016-09-30,6.033,5.088,5.128,1082104945
5.774,601898,2016-12-30,7.086,5.526,5.715,2065578211
6.072,601898,2017-03-31,6.321,5.496,5.804,1192969396
5.844,601898,2017-06-30,6.192,5.128,6.112,958309108
6.18,601898,2017-09-29,6.95,5.754,5.854,2271765945
15.844,601958,2010-03-31,18.953,14.817,17.926,727328578
11.569,601958,2010-06-30,17.497,11.353,15.928,765130570
17.587,601958,2010-09-30,17.711,10.657,11.503,1178628834
23.044,601958,2010-12-31,32.607,18.081,18.081,3699446967
25.278,601958,2011-03-31,27.35,18.775,23.557,1946947679
18.527,601958,2011-06-30,26.124,17.238,25.278,926684437
14.427,601958,2011-09-30,20.202,14.244,18.604,689523614
10.953,601958,2011-12-30,15.755,10.395,14.533,462665090
12.262,601958,2012-03-30,15.313,10.048,11.126,901880427
12.376,601958,2012-06-29,14.61,12.034,12.242,544748705
11.448,601958,2012-09-28,13.02,10.696,12.522,322767251
11.438,601958,2012-12-31,12.19,9.563,11.448,318921744
11.008,601958,2013-03-29,13.548,10.862,11.545,929601141
7.861,601958,2013-06-28,11.194,7.316,10.91,396032348
8.198,601958,2013-09-30,9.08,7.702,7.861,546248308
7.187,601958,2013-12-31,8.337,6.969,8.158,316835168
6.077,601958,2014-03-31,7.197,5.968,7.177,319279617
7.04,601958,2014-06-30,7.722,5.67,6.077,1240044355
8.576,601958,2014-09-30,9.214,6.99,7.04,1475877766
9.344,601958,2014-12-31,10.56,7.638,8.596,1520003421
11.448,601958,2015-03-31,11.727,8.616,9.364,1674134331
11.78,601958,2015-06-30,17.33,10.1,11.368,4439149383
6.82,601958,2015-09-30,11.9,6.43,11.6,2816961313
8.28,601958,2015-12-31,9.16,7.01,7.04,1623297632
7.86,601958,2016-03-31,8.31,6.0,8.27,1232966316
8.15,601958,2016-06-30,9.03,6.9,7.77,1355822611
7.72,601958,2016-09-30,9.35,7.6,8.16,879943058
7.65,601958,2016-12-30,9.2,7.55,7.74,910994962
7.77,601958,2017-03-31,8.69,7.1,7.67,687717536
7.17,601958,2017-06-30,8.37,6.45,7.74,526920765
8.58,601958,2017-09-29,10.48,7.13,7.2,2897355336
28.748,601966,2016-09-30,42.671,15.461,15.461,917551929
26.684,601966,2016-12-30,34.226,26.476,28.947,430826239
24.789,601966,2017-03-31,28.173,24.015,26.674,304992060
22.43,601966,2017-06-30,25.325,17.763,24.829,290849365
19.9,601966,2017-09-29,22.83,18.48,22.29,408333286
7.158,601991,2010-03-31,7.866,6.842,7.721,286417415
5.937,601991,2010-06-30,8.097,5.639,7.124,397583473
5.894,601991,2010-09-30,6.454,5.67,5.859,313060035
5.248,601991,2010-12-31,6.73,5.17,5.911,641149308
5.239,601991,2011-03-31,5.859,4.937,5.282,544594229
4.808,601991,2011-06-30,6.575,4.575,5.213,1200267967
3.869,601991,2011-09-30,5.11,3.74,4.825,335389507
4.516,601991,2011-12-30,4.648,3.799,3.877,356936955
4.403,601991,2012-03-30,4.945,4.306,4.525,388524037
4.928,601991,2012-06-29,5.243,4.28,4.376,421847743
3.955,601991,2012-09-28,5.033,3.803,4.928,329315658
3.606,601991,2012-12-31,4.018,3.293,3.955,515109780
3.866,601991,2013-03-29,4.134,3.553,3.615,1031081770
4.6,601991,2013-06-28,4.788,3.758,3.866,739358758
4.077,601991,2013-09-30,4.975,4.022,4.582,569070160
3.867,601991,2013-12-31,4.423,3.758,4.086,525399112
3.384,601991,2014-03-31,3.858,3.302,3.849,500085650
3.247,601991,2014-06-30,3.511,3.183,3.384,389588218
3.849,601991,2014-09-30,3.905,3.338,3.375,1327324910
6.474,601991,2014-12-31,6.869,3.604,3.839,3963433870
6.022,601991,2015-03-31,6.756,4.931,6.455,3996220025
7.509,601991,2015-06-30,8.949,5.834,5.985,10722629233
5.076,601991,2015-09-30,7.65,4.462,7.321,5131628232
4.932,601991,2015-12-31,5.642,4.836,5.22,1477490035
4.088,601991,2016-03-31,4.942,3.675,4.922,1042706488
3.733,601991,2016-06-30,4.212,3.646,4.088,688455507
3.84,601991,2016-09-30,4.049,3.704,3.733,666374365
3.82,601991,2016-12-30,4.22,3.8,3.84,699548252
4.93,601991,2017-03-31,5.18,3.71,3.83,2111274147
4.52,601991,2017-06-30,5.35,4.4,4.8,2880139163
4.52,601991,2017-09-29,5.0,4.22,4.52,1596081939
7.561,601992,2011-03-31,8.372,6.33,7.075,894652737
7.301,601992,2011-06-30,8.108,5.613,7.551,795193615
5.221,601992,2011-09-30,7.912,5.174,7.381,891936193
3.984,601992,2011-12-30,5.543,3.449,5.245,437242377
3.743,601992,2012-03-30,4.975,3.596,4.003,686392053
3.151,601992,2012-06-29,4.245,3.075,3.743,1150089056
2.808,601992,2012-09-28,3.207,2.487,3.17,986539851
3.882,601992,2012-12-31,3.939,2.607,2.818,1555091403
3.254,601992,2013-03-29,4.347,3.072,3.944,1301679579
2.396,601992,2013-06-28,3.666,2.137,3.22,847889652
2.625,601992,2013-09-30,2.971,2.228,2.372,749688326
3.306,601992,2013-12-31,3.967,2.577,2.621,1600981377
3.146,601992,2014-03-31,3.515,2.421,3.306,1644160908
2.732,601992,2014-06-30,3.646,2.64,3.17,1392213677
3.264,601992,2014-09-30,3.436,2.689,2.728,1771786968
4.999,601992,2014-12-31,5.177,3.032,3.313,3510488984
5.507,601992,2015-03-31,5.887,4.215,5.226,2262671061
5.914,601992,2015-06-30,7.287,4.934,5.571,5005356320
3.781,601992,2015-09-30,6.098,3.316,5.87,2751890384
4.637,601992,2015-12-31,5.494,3.87,3.93,1287039306
4.459,601992,2016-03-31,4.642,3.479,4.642,668135471
3.836,601992,2016-06-30,4.959,3.628,4.454,507369048
4.287,601992,2016-09-30,4.575,3.811,3.841,1239037467
4.426,601992,2016-12-30,4.734,4.108,4.307,1529342731
4.624,601992,2017-03-31,5.259,3.86,4.396,3797254109
6.421,601992,2017-06-30,9.011,5.091,5.091,18402938512
6.35,601992,2017-09-29,7.44,5.66,6.421,8308386389
5.558,601998,2010-03-31,6.292,4.961,6.277,2956582459
4.084,601998,2010-06-30,5.626,3.759,5.604,2317291567
3.91,601998,2010-09-30,4.724,3.864,4.069,2001680794
4.033,601998,2010-12-31,4.97,3.941,4.002,2272715785
4.355,601998,2011-03-31,4.478,3.841,4.033,1222976771
3.649,601998,2011-06-30,4.57,3.556,4.34,964715994
3.479,601998,2011-09-30,3.875,3.325,3.713,2131262488
3.305,601998,2011-12-30,3.713,3.199,3.495,1100980896
3.485,601998,2012-03-30,3.837,3.256,3.305,1358949838
3.273,601998,2012-06-29,3.87,3.207,3.461,1090348220
3.095,601998,2012-09-28,3.4,2.959,3.273,847481869
3.637,601998,2012-12-31,3.654,3.001,3.103,1127597341
3.959,601998,2013-03-29,4.646,3.451,3.688,2880148036
3.145,601998,2013-06-28,3.976,2.891,3.968,1668243403
3.309,601998,2013-09-30,3.795,2.984,3.145,2092287430
3.415,601998,2013-12-31,3.689,3.115,3.274,1518948512
4.086,601998,2014-03-31,4.924,3.15,3.398,4979720964
3.768,601998,2014-06-30,4.598,3.653,4.068,2533274741
4.253,601998,2014-09-30,4.515,3.715,3.777,3523467299
7.626,601998,2014-12-31,7.672,4.103,4.262,12472605754
6.895,601998,2015-03-31,7.804,5.902,7.635,8667063132
7.223,601998,2015-06-30,8.413,6.174,6.895,13916668742
5.499,601998,2015-09-30,9.837,5.068,7.129,11857777538
6.764,601998,2015-12-31,7.935,5.527,5.602,6662325176
5.686,601998,2016-03-31,6.792,4.825,6.764,3788205154
5.312,601998,2016-06-30,5.827,5.106,5.677,1680609570
5.801,601998,2016-09-30,6.548,5.293,5.312,2190578468
6.218,601998,2016-12-30,7.295,5.743,5.801,2298327210
6.509,601998,2017-03-31,6.916,6.228,6.247,1705715880
6.102,601998,2017-06-30,6.567,5.617,6.48,2145034847
6.3,601998,2017-09-29,7.13,5.995,6.082,3436075948
7.667,000002,2010-03-31,8.772,7.287,8.756,4897412440
5.528,000002,2010-06-30,7.949,5.511,7.667,4436067058
6.848,000002,2010-09-30,7.354,5.422,5.528,5244131104
